Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,7,33,32.38,21.88,207.5,16.0,457.85,104.3,49.56,76.25,2021-07-01,965.72,2,3
2021,7,34,26.83,17.88,280.0,18.5,457.85,103.86,32.0,75.0,2021-07-01,1011.92,1,3
2021,7,35,19.5,25.0,369.9,20.0,208.48,109.64,28.9,40.0,2021-07-01,821.42,2,3
2021,7,36,25.3,16.01,249.9,16.0,457.85,107.67,25.33,64.23,2021-07-01,962.2900000000001,2,3
2021,7,37,18.39,11.38,244.9,19.75,408.84,106.32,36.0,66.25,2021-07-01,911.8299999999999,2,3
2021,7,38,13.83,26.13,172.0,19.0,457.85,107.86,26.37,70.65,2021-07-01,893.69,2,3
2021,7,39,18.13,22.5,379.0,20.0,457.85,105.61,25.0,42.23,2021-07-01,1070.3200000000002,1,3
2021,7,40,26.85,15.2,320.0,19.0,434.39,101.81,30.0,55.0,2021-07-01,1002.25,1,3
2021,7,41,20.0,22.0,299.0,14.0,457.85,104.01,36.0,94.0,2021-07-01,1046.8600000000001,1,3
2021,7,42,25.42,11.0,280.0,16.0,215.73,105.97,28.89,70.18,2021-07-01,753.19,3,3
2021,7,43,3.0,22.25,100.0,19.56,212.11,105.7,33.33,94.98,2021-07-01,590.93,3,3
2021,7,44,18.0,15.87,212.95,19.25,457.85,113.34,32.93,36.9,2021-07-01,907.09,2,3
2021,7,45,20.38,20.5,215.0,16.0,212.11,100.61,44.0,72.5,2021-07-01,701.1,3,3
2021,7,46,21.74,19.05,309.0,11.7,155.28,110.99,31.17,125.0,2021-07-01,783.93,2,3
2021,7,47,27.83,23.0,245.0,15.5,457.85,105.11,29.0,59.0,2021-07-01,962.2900000000001,1,3
2021,7,48,24.85,22.05,290.0,22.0,212.11,107.37,53.89,55.0,2021-07-01,787.27,3,3
2021,7,49,19.58,16.59,232.5,13.5,212.11,103.23,32.0,99.0,2021-07-01,728.51,3,3
2021,7,50,34.11,21.0,194.0,22.0,166.78,106.02,32.2,147.5,2021-07-01,723.61,3,3
2021,7,51,23.75,21.0,225.0,15.0,457.85,100.7,23.75,72.0,2021-07-01,939.0500000000001,2,3
2021,7,52,24.9,22.0,170.0,17.0,457.85,104.43,35.0,62.5,2021-07-01,893.6800000000001,2,3
2021,7,53,23.0,18.5,309.0,20.0,457.85,106.63,25.91,60.5,2021-07-01,1021.39,1,3
2021,7,54,20.95,19.0,140.0,18.0,215.73,103.22,28.5,57.0,2021-07-01,602.4,3,3
2021,7,55,28.0,13.5,215.0,16.0,457.85,103.94,38.19,68.0,2021-07-01,940.48,2,3
2021,8,1,26.9,25.0,200.0,18.0,459.04,109.0,25.67,97.25,2021-08-01,960.86,1,3
2021,8,2,15.35,22.0,200.75,20.0,212.63,104.7,65.04,120.0,2021-08-01,760.47,2,3
