Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo
2018,9,51,25.5,19.0,160.0,12.0,417.35,100.16,8.0,24.0
2018,9,52,24.9,19.0,165.0,14.0,417.35,100.0,5.0,29.9
2018,9,53,20.0,12.5,199.0,15.5,417.35,100.05,300.86,21.45
2018,9,54,15.83,15.98,140.0,14.0,196.42,100.19,400.0,20.5
2018,9,55,24.5,13.0,180.0,12.0,417.35,100.26,12.0,23.25
2018,10,1,23.03,19.0,180.0,14.0,417.35,100.73,5.0,30.0
2018,10,2,13.0,17.18,178.0,16.0,342.4,100.17,25.0,20.23
2018,10,3,15.5,16.5,145.0,11.5,417.35,100.2,399.0,32.22
2018,10,4,25.4,10.79,318.0,10.2,417.35,100.48,8.0,30.29
2018,10,5,21.4,15.6,238.75,16.0,342.4,100.43,299.0,41.67
2018,10,6,24.65,15.72,220.0,20.0,152.16,100.11,470.0,19.9
2018,10,7,19.99,17.0,216.24,14.25,189.17,100.54,340.0,20.4
2018,10,8,17.42,20.5,196.12,17.25,342.4,100.17,10.0,25.25
2018,10,9,23.5,15.0,160.0,17.0,152.16,100.38,479.0,38.04
2018,10,10,23.8,16.0,374.0,16.0,417.35,100.12,10.0,41.67
2018,10,11,15.5,18.52,264.0,13.0,417.35,100.83,25.0,31.11
2018,10,12,32.95,17.33,191.75,15.0,417.35,100.4,25.0,23.32
2018,10,13,14.3,16.08,180.0,14.0,342.4,100.72,349.0,25.17
2018,10,14,18.9,19.4,209.5,13.0,417.35,100.44,10.0,24.81
2018,10,15,21.4,15.33,175.4,15.5,342.4,100.24,10.0,18.38
2018,10,16,6.1,13.81,245.0,20.0,342.4,100.22,299.0,32.9
2018,10,17,13.95,17.9,272.25,16.0,288.87,100.25,449.0,22.35
2018,10,18,22.0,26.03,234.0,17.0,342.4,100.32,24.0,22.0
2018,10,19,19.65,17.5,260.0,16.0,189.17,100.39,20.0,21.25
2018,10,20,21.29,18.0,249.0,10.21,152.16,100.06,10.0,22.4
2018,10,21,20.63,17.0,189.0,19.0,288.87,100.92,15.0,20.97
2018,10,22,19.15,19.55,230.0,13.0,417.35,100.38,7.0,27.0
2018,10,23,19.2,12.78,347.0,16.0,417.35,100.58,12.0,15.5
2018,10,24,29.8,18.0,195.0,17.0,417.35,99.84,24.0,22.03
2018,10,25,18.8,19.3,232.0,16.0,189.17,99.99,24.0,19.7
2018,10,26,15.0,15.0,210.0,16.0,196.42,100.03,20.0,36.5
2018,10,27,26.98,16.38,238.75,18.0,152.16,100.02,14.0,20.56
2018,10,28,14.15,16.9,219.0,16.0,342.4,100.0,12.0,26.67
2018,10,29,22.6,18.45,160.0,18.0,417.35,100.59,15.0,20.0
2018,10,30,15.5,23.15,245.0,14.0,417.35,100.24,13.0,18.89
2018,10,31,21.65,18.9,160.0,18.0,342.4,100.29,299.0,44.44
2018,10,32,18.65,17.46,180.0,19.0,152.16,100.17,10.0,18.0
2018,10,33,28.28,19.0,170.0,14.0,417.35,100.21,10.0,21.43
2018,10,34,30.2,14.9,243.28,14.5,417.35,100.25,10.0,21.0
2018,10,35,13.75,18.0,262.9,17.0,189.17,100.22,499.0,27.67
2018,10,36,19.03,13.35,181.65,14.0,417.35,100.76,11.0,17.99
2018,10,37,8.92,12.45,245.65,16.0,395.94,99.95,8.0,22.15
2018,10,38,22.15,26.5,183.0,15.0,417.35,100.88,399.0,25.25
2018,10,39,16.0,19.7,347.25,16.0,417.35,100.25,10.0,30.0
2018,10,40,28.55,14.0,260.0,17.0,395.94,100.0,8.0,40.0
2018,10,41,18.0,16.5,236.5,12.0,417.35,100.37,24.0,26.0
2018,10,42,20.0,9.6,270.0,12.0,342.4,100.2,18.0,32.22
2018,10,43,7.25,17.65,180.0,18.0,342.4,100.1,459.0,25.25
2018,10,44,14.75,14.67,186.0,15.0,417.35,101.23,14.0,28.11
2018,10,45,20.63,19.0,240.0,16.0,342.4,100.45,10.0,20.56
2018,10,46,16.24,14.1,299.0,10.3,288.87,100.55,10.5,23.5
2018,10,47,28.78,20.0,322.0,13.0,417.35,100.0,8.0,27.22
2018,10,48,13.9,19.65,200.0,18.0,342.4,101.2,200.0,35.56
2018,10,49,16.6,14.0,200.0,11.0,342.4,100.49,15.0,38.7
2018,10,50,29.5,17.5,174.0,20.0,152.16,100.13,10.0,25.75
2018,10,51,25.0,19.0,160.0,12.0,417.35,100.16,8.0,25.0
2018,10,52,22.65,19.0,147.5,14.0,417.35,100.13,5.0,29.9
2018,10,53,16.0,12.5,199.0,15.5,417.35,100.23,300.86,22.35
2018,10,54,14.95,18.5,140.0,14.0,342.4,100.19,400.0,22.75
2018,10,55,21.5,13.0,180.0,12.0,417.35,100.26,12.0,22.0
2018,11,1,26.28,19.0,180.0,14.0,417.35,101.0,5.0,30.0
2018,11,2,13.38,18.65,178.0,16.0,342.4,100.28,25.0,21.11
2018,11,3,11.25,16.5,137.0,11.5,417.35,100.2,399.0,32.22
2018,11,4,21.4,10.67,308.5,10.2,417.35,100.63,8.0,30.29
2018,11,5,17.65,18.12,249.0,16.0,342.4,100.9,299.0,41.67
2018,11,6,24.65,15.72,220.0,20.0,288.87,100.13,470.0,19.9
2018,11,7,17.74,17.0,224.99,15.0,288.87,100.55,340.0,23.9
2018,11,8,17.5,20.5,195.96,18.0,342.4,100.17,10.0,25.25
2018,11,9,22.0,15.0,170.0,17.0,288.87,100.73,479.0,37.67
2018,11,10,21.73,16.0,374.38,16.0,417.35,100.23,10.0,41.67
2018,11,11,16.5,18.52,264.0,13.0,417.35,101.25,25.0,31.11
2018,11,12,28.95,17.25,179.0,15.0,417.35,100.47,25.0,24.14
2018,11,13,9.7,16.14,180.0,14.0,342.4,100.96,349.0,25.23
2018,11,14,15.85,19.4,209.5,12.0,417.35,100.44,10.0,24.81
2018,11,15,16.9,15.72,177.65,15.5,342.4,100.24,10.0,16.45
2018,11,16,5.7,14.31,245.0,20.0,342.4,100.51,299.0,32.83
2018,11,17,13.1,18.7,275.0,16.0,288.87,100.34,449.0,22.35
2018,11,18,16.25,25.89,234.0,17.0,342.4,100.46,24.0,24.44
2018,11,19,18.65,17.5,260.0,16.0,288.87,100.73,20.0,20.56
2018,11,20,14.65,18.0,249.0,10.35,288.87,100.09,10.0,25.4
2018,11,21,17.45,17.0,190.5,19.0,288.87,101.16,15.0,20.97
2018,11,22,18.15,19.9,230.0,13.0,417.35,100.53,7.0,27.0
2018,11,23,15.5,12.92,295.0,16.0,417.35,100.7,12.0,16.0
2018,11,24,25.8,18.0,195.0,17.0,417.35,101.57,24.0,22.03
2018,11,25,16.0,19.3,233.5,16.0,288.87,99.99,24.0,20.0
2018,11,26,15.0,15.01,210.0,16.0,342.4,100.03,20.0,36.5
2018,11,27,21.8,16.38,249.0,18.0,288.87,100.1,14.0,20.56
2018,11,28,13.38,17.5,254.0,16.0,342.4,100.23,12.0,26.67
2018,11,29,14.83,19.8,160.0,18.0,417.35,101.23,15.0,20.0
2018,11,30,15.5,22.9,245.0,14.0,417.35,100.47,13.0,18.89
2018,11,31,18.1,18.53,160.0,18.0,342.4,100.31,299.0,44.44
2018,11,32,15.75,17.46,180.0,19.0,288.87,100.17,10.0,18.0
2018,11,33,26.28,19.0,170.0,14.0,417.35,100.21,10.0,21.43
2018,11,34,28.48,15.3,268.19,14.5,417.35,100.25,10.0,21.0
2018,11,35,15.0,18.0,262.9,17.0,288.87,100.77,499.0,28.78
2018,11,36,19.9,13.21,192.4,14.0,417.35,100.87,11.0,17.99
2018,11,37,10.4,12.28,214.9,16.0,395.94,100.18,8.0,25.65
2018,11,38,16.33,25.83,180.25,15.0,417.35,101.02,399.0,25.25
2018,11,39,18.75,19.7,369.0,16.0,417.35,100.28,10.0,27.5
2018,11,40,21.75,14.0,265.0,17.0,395.94,100.0,8.0,40.0
2018,11,41,14.0,16.5,232.0,12.0,417.35,100.37,24.0,26.0
2018,11,42,18.0,9.6,270.0,12.0,342.4,100.2,7.0,36.67
2018,11,43,8.0,18.85,180.0,18.0,342.4,100.1,509.0,25.25
2018,11,44,15.25,14.67,220.0,15.5,417.35,101.65,14.0,21.3
2018,11,45,19.75,19.0,267.26,16.0,342.4,100.53,10.0,20.56
2018,11,46,14.99,14.23,299.0,10.3,288.87,100.55,10.5,23.5
2018,11,47,25.78,20.0,322.0,13.0,417.35,100.23,8.0,27.22
2018,11,48,12.8,19.8,200.0,18.0,342.4,101.37,200.0,35.56
2018,11,49,11.33,14.15,197.5,11.0,342.4,100.49,15.0,38.33
2018,11,50,28.5,18.0,186.0,20.0,288.87,100.13,10.0,26.0
2018,11,51,21.0,19.0,150.0,12.0,417.35,100.16,8.0,28.0
2018,11,52,19.15,19.0,150.0,14.0,417.35,100.26,5.0,29.9
2018,11,53,14.75,12.5,199.0,15.5,417.35,100.35,300.86,24.85
2018,11,54,11.15,18.5,140.0,14.0,342.4,100.44,400.0,23.75
2018,11,55,19.0,13.0,195.0,12.0,417.35,100.41,12.0,22.0
2018,12,1,27.15,19.0,180.0,14.0,417.35,101.4,5.0,30.0
2018,12,2,14.5,18.6,178.0,16.0,342.4,100.32,25.0,22.78
2018,12,3,17.5,16.88,137.0,11.5,417.35,100.27,399.0,32.22
2018,12,4,21.4,10.67,339.0,10.2,417.35,100.68,8.0,30.29
2018,12,5,14.4,17.59,210.75,16.0,342.4,100.94,299.0,39.47
2018,12,6,20.65,16.64,220.0,20.0,288.87,100.13,470.0,19.9
2018,12,7,16.74,17.0,222.49,15.0,288.87,100.55,340.0,23.9
2018,12,8,20.57,20.8,201.75,18.0,342.4,100.28,10.0,25.25
2018,12,9,22.5,15.0,167.5,17.0,288.87,100.76,479.0,37.67
2018,12,10,20.5,16.0,354.0,16.0,417.35,100.34,10.0,41.67
2018,12,11,16.0,18.52,257.5,13.0,417.35,101.44,25.0,31.11
2018,12,12,28.95,17.5,179.0,15.0,417.35,100.73,25.0,24.14
2018,12,13,9.8,16.32,180.0,14.0,342.4,101.13,349.0,26.78
2018,12,14,14.85,19.4,209.5,12.0,417.35,100.44,10.0,25.19
2018,12,15,14.65,15.86,179.15,15.5,342.4,100.36,10.0,16.72
2018,12,16,5.45,16.0,238.5,20.0,342.4,100.64,299.0,36.56
2018,12,17,12.5,19.5,290.0,16.0,288.87,100.39,449.0,22.3
2018,12,18,19.25,29.65,234.0,17.0,342.4,100.46,24.0,24.44
2018,12,19,18.15,18.0,260.0,16.0,288.87,100.83,20.0,20.56
2018,12,20,14.11,18.0,238.0,10.35,288.87,100.12,10.0,25.9
2018,12,21,16.55,17.0,195.0,19.0,288.87,101.16,15.0,20.56
2018,12,22,19.9,20.58,230.0,13.0,417.35,100.56,7.0,27.0
2018,12,23,15.5,13.03,295.0,16.0,417.35,100.72,12.0,16.0
2018,12,24,23.55,18.0,195.0,17.0,417.35,102.17,24.0,22.03
2018,12,25,15.75,19.3,247.75,16.0,288.87,100.39,24.0,19.55
2018,12,26,15.0,12.5,210.0,16.0,342.4,100.03,20.0,36.5
2018,12,27,26.9,16.38,225.38,18.0,288.87,100.23,14.0,19.22
2018,12,28,13.8,17.5,289.0,16.0,342.4,100.59,12.0,26.67
2018,12,29,17.5,19.8,160.0,18.0,417.35,102.11,15.0,24.0
2018,12,30,13.0,22.9,245.0,14.0,417.35,100.47,13.0,18.89
2018,12,31,14.4,19.5,160.0,18.0,342.4,100.31,299.0,44.44
2018,12,32,14.2,17.06,180.0,19.0,288.87,100.3,10.0,18.0
2018,12,33,25.93,19.0,172.5,14.0,417.35,100.51,10.0,21.68
2018,12,34,26.9,16.5,276.96,14.5,417.35,100.25,10.0,21.5
2018,12,35,14.25,18.5,262.9,17.0,288.87,100.77,499.0,28.22
2018,12,36,15.85,13.21,228.85,14.0,417.35,100.93,11.0,17.99
2018,12,37,9.9,12.28,199.9,16.0,395.94,100.2,8.0,25.9
2018,12,38,13.83,26.5,169.0,15.75,417.35,101.62,399.0,25.25
2018,12,39,24.25,19.7,379.5,16.0,417.35,100.29,10.0,28.0
2018,12,40,24.5,14.0,265.0,17.0,395.94,100.0,8.0,40.0
2018,12,41,14.0,17.63,279.25,12.0,417.35,100.37,24.0,26.0
2018,12,42,17.5,9.6,272.5,12.0,342.4,100.64,7.0,36.67
2018,12,43,5.25,19.5,180.0,18.0,342.4,100.24,509.0,25.25
2018,12,44,16.0,14.67,220.0,16.0,417.35,102.23,14.0,23.15
2018,12,45,22.0,19.0,283.52,16.0,342.4,100.62,10.0,20.56
2018,12,46,15.99,15.82,224.0,10.3,288.87,100.55,10.5,23.5
2018,12,47,17.65,20.0,322.0,13.0,417.35,100.45,8.0,27.22
2018,12,48,11.4,19.7,200.0,18.0,342.4,101.71,199.0,35.56
2018,12,49,9.88,14.5,195.0,11.0,342.4,100.61,15.0,38.33
2018,12,50,35.75,18.0,186.0,20.0,288.87,100.13,10.0,26.0
2018,12,51,22.0,19.0,150.0,12.0,417.35,100.2,8.0,28.0
2018,12,52,18.15,19.0,150.0,14.0,417.35,100.26,5.0,29.9
2018,12,53,14.5,13.0,199.0,15.5,417.35,100.35,300.86,24.95
2018,12,54,10.85,17.2,140.0,14.0,342.4,100.75,400.0,23.5
2018,12,55,19.0,13.0,200.0,12.0,417.35,100.6,12.0,22.0
2019,1,1,26.28,19.0,180.0,14.0,419.0,101.74,5.0,30.0
2019,1,2,12.18,18.9,178.25,16.0,343.77,100.53,25.0,22.78
2019,1,3,12.0,17.38,133.25,11.5,419.0,100.35,399.0,32.22
2019,1,4,19.9,10.67,310.0,10.2,419.0,100.85,8.0,30.29
2019,1,5,16.4,17.85,236.25,16.0,343.77,100.99,299.0,36.67
2019,1,6,21.9,17.57,220.0,20.0,270.03,100.13,470.0,21.2
2019,1,7,18.24,17.38,224.99,15.0,270.03,100.55,340.0,22.15
2019,1,8,20.0,20.8,399.0,18.0,343.77,100.34,10.0,25.25
2019,1,9,20.0,15.0,160.0,17.5,290.03,101.2,479.0,37.67
2019,1,10,22.25,15.5,372.75,16.0,419.0,100.41,10.0,41.67
2019,1,11,14.0,18.78,258.89,13.0,419.0,101.67,25.0,31.11
2019,1,12,26.7,17.5,180.75,15.16,419.0,101.05,25.0,20.84
2019,1,13,10.35,16.32,177.5,14.0,343.77,101.4,349.0,26.75
2019,1,14,11.15,20.08,209.5,12.0,419.0,100.5,10.0,25.0
2019,1,15,15.9,16.25,188.65,15.5,343.77,100.45,10.0,15.34
2019,1,16,8.3,14.5,254.25,20.0,343.77,100.77,299.0,36.56
2019,1,17,13.95,20.25,290.0,16.0,290.03,100.49,449.0,20.16
2019,1,18,17.75,29.65,234.0,17.0,343.77,100.46,24.0,24.44
2019,1,19,16.8,18.75,260.0,16.0,290.03,101.13,20.0,20.56
2019,1,20,14.0,18.06,205.0,10.35,290.03,100.12,10.0,25.9
2019,1,21,13.88,17.0,187.5,20.0,290.03,101.16,15.0,19.32
2019,1,22,16.9,20.39,230.0,13.0,419.0,100.63,7.0,22.5
2019,1,23,15.1,12.99,295.0,16.0,419.0,100.93,12.0,15.25
2019,1,24,21.8,18.0,205.0,17.0,390.1,101.17,22.5,22.03
2019,1,25,13.05,19.6,299.0,16.75,270.03,100.54,22.5,17.49
2019,1,26,14.5,12.5,210.0,16.0,343.77,100.19,20.0,36.5
2019,1,27,20.48,16.38,216.25,18.0,290.03,100.27,14.0,20.67
2019,1,28,14.65,19.5,299.0,16.0,343.77,100.87,12.0,26.67
2019,1,29,18.48,20.5,160.0,18.5,419.0,102.76,15.0,31.0
2019,1,30,19.0,22.9,245.0,14.0,419.0,100.47,13.0,18.89
2019,1,31,15.65,19.73,160.0,18.0,343.77,100.42,299.0,44.44
2019,1,32,13.53,17.06,180.0,19.0,290.03,100.69,10.0,18.0
2019,1,33,28.4,19.0,160.0,14.0,419.0,100.57,10.0,24.81
2019,1,34,19.5,16.6,255.82,14.5,419.0,100.79,10.0,23.25
2019,1,35,14.25,19.0,269.65,17.0,290.03,101.08,499.0,28.78
2019,1,36,14.83,14.27,228.85,14.0,419.0,101.43,11.0,17.99
2019,1,37,12.29,12.28,199.9,16.0,397.5,100.33,8.0,25.9
2019,1,38,14.33,23.8,169.75,16.0,419.0,101.8,399.0,25.25
2019,1,39,19.25,19.7,325.0,16.0,419.0,100.31,10.0,28.0
2019,1,40,28.4,15.35,260.0,17.0,397.5,100.0,8.0,40.0
2019,1,41,13.0,18.0,299.0,12.0,419.0,100.49,24.0,26.0
2019,1,42,20.5,9.6,280.0,13.0,343.77,100.99,7.0,36.67
2019,1,43,5.0,20.0,185.0,18.0,343.77,100.75,509.0,25.25
2019,1,44,13.63,15.17,197.0,16.0,419.0,103.13,14.0,25.63
2019,1,45,22.5,18.5,280.0,16.0,343.77,100.62,10.0,20.56
2019,1,46,13.74,17.41,281.5,10.9,270.03,100.55,10.5,23.5
2019,1,47,25.5,20.0,322.03,13.0,419.0,100.55,9.0,27.22
2019,1,48,14.15,19.8,210.0,20.0,343.77,101.92,199.0,35.56
2019,1,49,10.43,14.5,182.5,11.0,343.77,100.61,15.0,29.58
2019,1,50,40.5,18.0,180.75,20.0,290.03,100.14,10.0,26.0
2019,1,51,26.75,19.0,150.0,12.0,419.0,100.27,8.0,29.0
2019,1,52,18.4,19.75,140.0,14.0,419.0,100.28,5.0,29.9
2019,1,53,13.75,13.5,199.0,15.5,419.0,100.37,300.86,24.95
2019,1,54,11.9,16.5,140.0,14.25,343.77,101.06,400.0,23.75
2019,1,55,19.5,13.0,200.0,12.0,419.0,101.11,16.0,22.0
2019,2,1,20.48,19.0,180.0,14.0,420.65,102.08,5.0,30.0
2019,2,2,8.65,19.68,178.5,16.0,345.13,100.62,25.0,21.31
2019,2,3,13.5,17.5,132.0,11.5,420.65,100.56,399.0,32.22
2019,2,4,17.4,10.92,304.0,10.2,420.65,101.08,8.0,30.29
2019,2,5,17.3,16.26,236.25,16.25,345.13,101.07,299.0,39.56
2019,2,6,24.15,17.57,220.0,20.0,271.11,100.13,470.0,22.5
2019,2,7,19.74,17.5,229.99,16.0,271.11,100.98,340.0,23.9
2019,2,8,23.75,20.8,361.5,18.0,345.13,100.36,10.0,25.25
2019,2,9,24.75,15.0,160.0,18.0,291.19,102.07,479.0,37.67
2019,2,10,20.33,15.0,368.5,16.0,420.65,100.41,10.0,43.44
2019,2,11,14.0,19.05,264.0,13.0,420.65,102.0,25.0,31.11
2019,2,12,20.95,17.0,192.0,15.61,420.65,101.28,25.0,20.84
2019,2,13,16.0,16.8,160.0,14.0,194.36,101.63,399.0,25.43
2019,2,14,16.3,20.3,209.5,12.0,420.65,100.72,10.0,22.05
2019,2,15,17.05,16.38,184.9,15.5,345.13,100.57,10.0,15.51
2019,2,16,8.13,16.0,264.0,20.0,345.13,100.84,299.0,35.06
2019,2,17,16.7,20.5,290.0,16.0,291.19,100.45,449.0,19.45
2019,2,18,18.0,29.65,234.0,17.0,345.13,100.7,24.0,21.0
2019,2,19,16.8,19.0,260.0,16.0,291.19,101.33,20.0,20.56
2019,2,20,17.11,18.0,216.0,10.35,291.19,100.12,10.0,28.65
2019,2,21,15.43,17.0,165.0,20.0,291.19,101.16,15.0,18.9
2019,2,22,17.15,19.15,235.0,13.0,420.65,100.8,7.0,24.0
2019,2,23,12.1,13.03,295.0,16.0,420.65,101.25,12.0,16.0
2019,2,24,20.98,17.94,195.0,17.0,391.64,101.41,22.5,20.87
2019,2,25,13.8,19.93,299.0,17.0,271.11,100.97,22.5,18.2
